"block","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU"
"5add5b37-915b-4733-b935-a29cbb482d04","723ee4ad-9f4e-4dda-8191-50145e4e4f4f","947e5bf0-4766-4d25-8d0e-fb27152c1c3a","7168b0af-f663-4320-a2b8-32f5db68d878","33","66.375","13.79125","30","94"
"c29d3dbe-ca48-4e32-8c41-3149db2b61fa","608df872-d93f-4dbb-8644-6fe908ee1681","f54256c7-bd9c-4b66-b8a2-ea4c8140809c","ea5aa12b-81d1-4be5-8d1b-e28eaef1e117","42","66.375","13.57125","30","94"
"f371c3a9-fc49-4b4f-8ee3-eabed2062c07","259acb2f-4f6a-4905-b7f7-fce36e207628","5f77739a-9b62-471f-8a57-848310f81ff7","254b1dd5-043c-42f4-88da-7c8e1db87e54","49","66.375","13.42125","34","94"
"7ae1f1be-c48a-4d80-863c-28b6dc882cab","855eac7a-821b-4d59-afce-5eb7a37d109d","714ba4cb-319c-479f-9f52-c0c0fcdf1b9c","4e83108b-4b71-4875-9fd0-b4b522b0fad4","34","66.375","13.16125","34","94"
"e100abbd-7eca-450d-9061-a84c55c6cb21","71db3752-7927-4fc5-ae3c-5a72f46a4542","f7097bfe-15dc-4fa0-88bd-22d8837043a4","145c06e4-6320-4924-bf1d-ed32b26c208e","46","66.375","13.02125","36","93"
"257d2b6b-a852-4832-bd63-bbdad9ed8530","0eac2ca1-b113-490e-839e-c9586f3b9547","9c55cdc4-b5ce-4fcd-8fa6-843880086649","ad96290d-9904-4b0e-8701-2c5c88e16487","36","66.375","12.81125","36","92"
"88f2eccc-8611-4694-be45-de0e377130ec","69d4131d-bb8d-4f07-9b05-0f97220fd254","9ce8ac56-2909-4a62-8ad2-1efab1cbecdd","30b96ff3-b120-41e5-8581-78670d9490c1","42","66.375","12.67125","36","92"
"d5fddfcd-6b58-4a74-8a4e-f25628e05bcb","9e0bb1c3-263e-4d0a-9977-689ab98e802f","6121a558-ebed-4dab-807c-817411adefca","5d4aceb7-6220-4747-b837-114c8e501d49","39","66.375","12.50125","37","92"
"8f541a2d-24f5-44b5-b6a2-8df292cd29f2","7aa35a6d-84ec-48e9-a882-50f450dc040a","4c4a0a56-1993-47e3-b55c-a8bd646fc4f2","8ab00c4d-53bd-4b2c-bbad-f5c97462059d","37","66.375","12.32125","38","92"
"e4bf1afd-e446-48ef-86d1-e829af3b9195","f78bed1c-eacf-4c9b-aedc-4dbca7dd97c3","3b56e8e7-9db0-4227-8ad7-86c7e5b297f3","02c02bde-4147-41ae-86b8-6e1804a7f227","43","66.375","12.21125","38","91"
"b05bad62-2398-442c-ba44-ebb0060ae8b7","d4ef894b-2e62-4612-8835-5b4c85cf1e11","6c4a5244-63db-4a76-a570-debbcb24d5e2","f754cf65-2719-4a5d-afbb-10ad3beb84d3","47","66.375","12.15125","38","91"
"931c4f65-846b-4509-b30e-9eeb6a385c88","9fdd52b5-3b51-41db-969a-4236f80cd107","5a8733d7-7e5e-4fb5-b514-4d31a256e083","72bc6d2f-e035-4ae0-9bcb-fd34404938e2","47","66.375","12.09125","39","91"
"f9845bd4-77c3-4779-87b4-6ff2cfb8ba34","862c2408-c750-4165-bf5c-d29af94397ac","e6df6d24-4c62-4212-a591-6bfe5e978054","5142e6ab-a88b-4446-8ae7-8bf7010bc4fd","35","66.375","11.92125","40","91"
"4d6d6afa-0c2f-4d28-a687-98a17e363192","b68686a1-cd76-4308-801a-30f4c08eab04","efb9cc05-b5c5-441b-a896-8bb265d6a3c7","fa1f0559-7e83-423d-b083-ce08979bf9eb","49","66.375","11.90125","41","91"
"7c684c3d-a695-4d2a-b89f-1073b99be72e","b3a86eab-3a80-44d1-9f12-fca51c35da6a","ff0ea7df-f44b-481b-80f8-e9f680bf8fb0","32a993ef-b320-4826-8a10-64131b1b546f","48","66.375","11.88125","42","91"
"f8f4e4b2-a265-4d03-985e-e6495c115201","f1960c41-b1c1-49b3-8906-48405d52ab20","2307f2ce-fee0-4c86-93c7-ec76eb0dc83a","d7b6258c-c93e-4808-9cb3-533cb6293a6b","32","66.375","11.71125","42","90"
"980af021-ebf9-4a39-99a7-bb5b69e894ae","2b2d7d31-874a-4528-a065-b95d499140ec","3d2096c4-4b25-460b-9ec2-484cfef3424e","0210595f-d325-457a-98ed-dd952ee9f86d","44","66.375","11.67125","42","90"
"7f05505d-54be-4a6a-a5a7-0f185bfebb8e","f15074df-8717-4f41-8d0f-208b98b2212e","b68686a1-cd76-4308-801a-30f4c08eab04","798e73a3-f476-48b5-8270-c76f5eb5db8e","31","66.375","11.50125","42","90"
"375fcb18-bb31-4e22-958b-76feb5a292c6","efc7efcc-483e-495b-9114-698040129c6b","9a626083-d979-4194-83ba-824351441eb5","7c42a016-a657-4ed3-8cb6-5467768da86b","39","66.375","11.41125","42","89"
"15275b73-76bb-4aa3-ba57-9f60d10fa9a3","d0d167a8-afa7-4262-b5ec-2af4ddfbf0a7","715eb5f5-bd1a-414b-9888-52f47caf1f37","9074818c-ee8e-4bee-8f3e-8334073971c6","32","66.375","11.26125","43","89"
"d3462ca8-4f7a-4b07-a4e6-a20e838e4577","36be3511-3950-4753-aafe-06e91b8ca4fe","b3a86eab-3a80-44d1-9f12-fca51c35da6a","f431e96a-7ce9-40d0-b088-08b3177e35b6","40","66.375","11.20125","43","89"
"be34be56-1b86-4856-8d4a-59cc78754a6c","efb9cc05-b5c5-441b-a896-8bb265d6a3c7","718f6e2c-acee-49f6-a2ba-6e4f8595ed51","fa1f0559-7e83-423d-b083-ce08979bf9eb","49","66.375","11.23125","40","92"
